WBGene00001639	M01F1.1	gly-14,M01F1.1
WBGene00004425	C32E8.2a	rpl-13,C32E8.2
WBGene00013569	Y75B12B.4	bath-36,Y75B12B.4
WBGene00000144	F15H10.3a	apc-10,F15H10.3
WBGene00018926	F56A11.6	F56A11.6
WBGene00000144	F15H10.3b	apc-10,F15H10.3
WBGene00022352	Y82E9BR.20	Y82E9BR.20
WBGene00011049	R06A4.6	sdz-26,R06A4.6
WBGene00016352	C33F10.2	tbck-1,C33F10.2
WBGene00000144	F15H10.3c	apc-10,F15H10.3
WBGene00001158	F01G10.3a	ech-9,F01G10.3
WBGene00000144	F15H10.3d	apc-10,F15H10.3
WBGene00001158	F01G10.3b	ech-9,F01G10.3
WBGene00017440	F13H8.7	upb-1,F13H8.7
WBGene00015980	C18G1.1	C18G1.1
WBGene00017013	D1009.3a	ensh-1,D1009.3
WBGene00017013	D1009.3b	ensh-1,D1009.3
WBGene00009118	F25H2.4	F25H2.4
WBGene00020380	T09B4.6	T09B4.6
WBGene00007070	AC3.2	ugt-49,AC3.2
WBGene00001406	F48F5.5	fce-2,F48F5.5
WBGene00284844	H38K22.9	H38K22.9
WBGene00007310	C04G2.11	irld-21,C04G2.11
WBGene00005703	R07B5.3a	sru-40,R07B5.3
WBGene00015865	C16E9.1	C16E9.1
WBGene00005703	R07B5.3b	sru-40,R07B5.3
WBGene00020282	T06A4.2	mps-3,T06A4.2
WBGene00017139	EEED8.11	clec-141,EEED8.11
WBGene00005703	R07B5.3c	sru-40,R07B5.3
WBGene00005703	R07B5.3d	sru-40,R07B5.3
WBGene00005834	F57G8.4	srw-87,F57G8.4
WBGene00019231	H23L24.4	H23L24.4
WBGene00009642	F42G4.5a	F42G4.5
WBGene00009642	F42G4.5b	F42G4.5
WBGene00012210	W02D9.4	W02D9.4
WBGene00009642	F42G4.5c	F42G4.5
WBGene00010464	K01D12.5	K01D12.5
WBGene00022395	Y97E10AM.1	ceh-76,Y97E10AM.1
